,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
83,MPY1367,Arte y Antigüedades,33,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
84,MPY1743,"Autos, Motos y Otros",224,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
85,MPY1039,Cámaras Digitales y Foto.,166,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
86,MPY1051,Celulares y Teléfonos,761,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
87,MPY1798,Coleccionables y Hobbies,2,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
88,MPY1648,Computación,812,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
89,MPY1144,Consolas y Videojuegos,188,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
90,MPY1276,Deportes y Fitness,284,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
91,MPY1000,"Electrónica, Audio y Video",479,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
92,MPY1574,Hogar y Electrodomésticos,287,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
93,MPY1430,Indumentaria y Accesorios,460,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
94,MPY1459,Inmuebles,627,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
95,MPY1182,Instrumentos Musicales,375,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
96,MPY3937,Joyas y Relojes,17,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
97,MPY1132,Juegos y Juguetes,29,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
98,MPY3025,"Libros, Revistas y Comics",108,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
99,MPY1168,Música y Películas,4,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
100,MPY1540,Servicios,235,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
101,MPY1953,Otras categorías,652,not found,not found,not found,not found,not found,not found,Paraguay,not found,not found,not found,not found
102,MSV1747,Accesorios para Vehículos,3,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
103,MSV1512,Agro,2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
104,MSV1367,Arte y Antigüedades,45,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
105,MSV1743,"Autos, Motos y Otros",50,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
106,MSV1039,Cámaras Digitales y Foto.,6,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
107,MSV1051,Celulares y Teléfonos,133,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
108,MSV1798,Coleccionables y Hobbies,2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
109,MSV1648,Computación,49,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
110,MSV1144,Consolas y Videojuegos,18,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
111,MSV1276,Deportes y Fitness,3,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
112,MSV1000,"Electrónica, Audio y Video",9,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
113,MSV1574,Hogar y Electrodomésticos,11,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
114,MSV1430,Indumentaria y Accesorios,1,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
115,MSV1459,Inmuebles,237,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
116,MSV1182,Instrumentos Musicales,2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
117,MSV3937,Joyas y Relojes,2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
118,MSV1132,Juegos y Juguetes,13,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
119,MSV3025,"Libros, Revistas y Comics",2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
120,MSV1168,Música y Películas,2,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
121,MSV1540,Servicios,285,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
122,MSV1953,Otras categorías,60,not found,not found,not found,not found,not found,not found,El Salvador,not found,not found,not found,not found
123,MCO1747,Accesorios para Vehículos,2561135,Impermeable Siliconado Para Motociclista,{'MCO825255064': 83437},55385,COP,1977,2021-10-27T01:26:35.000Z,Colombia,Bogotá D.C.,puppys y shop,4.3,498209073
124,MCO441917,Agro,9163,"Leonardita, Acondicionador De Suelos",{'MCO562536464': 11792},72000,COP,250,2020-05-15T00:38:25.000Z,Colombia,Boyaca,Diatomeas Colombia,4.7,138038335
125,MCO1403,Alimentos y Bebidas,166913,Grageas Asquerosas Harry Potter,{'MCO817169589': 18012},14900,COP,500,2021-10-04T16:59:12.000Z,Colombia,Cundinamarca,Bean Bozzled,0,705081417
126,MCO1071,Animales y Mascotas,854477,Fuente De Agua Para Gatos Bebedero Mascotas ,{'MCO829449957': 8196},98400,COP,250,2021-11-06T16:48:27.000Z,Colombia,Bogotá D.C.,catie,4.8,692301641
127,MCO1367,Antigüedades y Colecciones,137540,Bandera Colombia Nacional 1mtr X1.5mt Exterior Grande,{'MCO652323820': 2559},24990,COP,200,2021-08-02T22:21:54.000Z,Colombia,Bogotá D.C.,Colombia,4,193264204
128,MCO1368,"Arte, Papelería y Mercería",1186450,Calculadora Casio Fx570 Es Plus 2 Generación,{'MCO606252982': 12207},99900,COP,500,2021-02-07T17:03:06.000Z,Colombia,Bogotá D.C.,RCA502107-001V01,5,108866681
129,MCO1384,Bebés,909692,Doble Extractor Leche Materna Eléctrico Real Bubee 2019,{'MCO497301208': 153943},76000,COP,500,2018-12-13T01:53:05.000Z,Colombia,Valle Del Cauca,Real Bubee,4.6,48335556
130,MCO1246,Belleza y Cuidado Personal,2610914,Máquina recortadora VGR V-228 dorada 100V/240V,{'MCO18577861': 0},57970,COP,2534,2021-10-28T15:18:22Z,Colombia,Bogotá D.C.,VGR,4.8,66208468
131,MCO40433,Boletas para Espectáculos,1008,Manillas Seguridad Papel Tyvek Eventos ( 1.000 Impresas ),{'MCO602899347': 2947},120000,COP,250,2021-01-20T14:26:34.000Z,Colombia,Bogotá D.C.,Manillas tyvek de seguridad entrada,4.8,166137471
