,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
422,MEC454289,Herramientas,10895,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
423,MEC1574,Hogar y Muebles,35458,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
424,MEC1499,Industrias y Oficinas,9268,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
425,MEC1459,Inmuebles,1790,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
426,MEC1182,Instrumentos Musicales,3267,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
427,MEC3937,Joyas y Relojes,4580,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
428,MEC1132,Juegos y Juguetes,12089,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
429,MEC1168,"Música, Libros y Películas",6587,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
430,MEC435280,"Recuerdos, Cotillón y Fiestas",8199,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
431,MEC1430,Ropa y Accesorios,13457,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
432,MEC409431,Salud y Equipamiento Médico,14867,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
433,MEC1540,Servicios,961,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
434,MEC1953,Otras categorías,9496,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
435,MCR1747,Accesorios para Vehículos,20625,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
436,MCR1512,Agro,63,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
437,MCR1071,Animales y Mascotas,1438,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
438,MCR1367,Arte y Antigüedades,1661,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
439,MCR1743,"Autos, Motos y Otros",230,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
440,MCR1384,Bebés,1012,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
441,MCR1039,Cámaras y Fotografía,2002,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
442,MCR1051,Celulares y Teléfonos,7870,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
443,MCR1798,Coleccionables y Hobbies,54,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
444,MCR1648,Computación,13955,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
445,MCR1144,Consolas y Videojuegos,1936,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
446,MCR1500,Construcción,269,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
447,MCR1276,Deportes y Fitness,3536,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
448,MCR1575,Electrodomésticos,12055,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
449,MCR1000,"Electrónica, Audio y Video",5619,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
450,MCR117005,Herramientas,1635,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
451,MCR1574,"Hogar, Muebles y Jardín",6986,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
452,MCR1499,Industrias y Oficinas,1348,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
453,MCR1459,Inmuebles,611,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
454,MCR1182,Instrumentos Musicales,418,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
455,MCR3937,Joyas y Relojes,2186,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
456,MCR1132,Juegos y Juguetes,1921,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
457,MCR3025,"Libros, Revistas y Comics",5212,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
458,MCR1168,Música y Películas,302,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
459,MCR1430,Ropa y Accesorios,2360,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
460,MCR1246,Salud y Belleza,4213,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
461,MCR1540,Servicios,268,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
462,MCR1953,Otras categorías,5296,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
463,MLM1747,Accesorios para Vehículos,30919745,Kit De Faros Delanteros De 4 Lados H7 9005 Led Rayo Bajo,{'MLM744487620': 802564},120.44,MXN,20000,2019-12-13T09:48:50.000Z,Mexico,Estado De México,PHELENSEYE,4.2,499692964
464,MLM189530,Agro,17913,Soldadora inverter Bergën SB130 azul y negra 50Hz/60Hz 110V/220V,{'MLM17496340': 0},1599,MXN,7117,2021-03-25T17:01:06Z,not found,Estado De México,Bergën,4.5,92299108
465,MLM1403,Alimentos y Bebidas,304084,Zulka Azúcar Morena 900 Gr,{'MLM904355177': 121863},19.9,MXN,50000,2021-04-10T03:35:48.000Z,Mexico,Sinaloa,Zulka,0,684036673
466,MLM1071,Animales y Mascotas,697461,Alimento Nupec Nutrición Científica para perro adulto de raza  mediana y grande sabor mix en bolsa de 20kg,{'MLM8737760': 0},1491,MXN,92948,2017-12-14T18:22:13Z,not found,Estado De México,Grupo Nutec,4.9,688635735
467,MLM1367,Antigüedades y Colecciones,426435,1 Llavero Funko Pop Nuevo A Elegir Leer Descripción ,{'MLM588078539': 1141952},185,MXN,10327,2017-07-03T15:38:42.000Z,Mexico,Distrito Federal,varios,4.6,28671056
468,MLM1368,"Arte, Papelería y Mercería",840877,Marcadores Doble Punta Plumones Punta Pincel Iforu 48 Colors,{'MLM866490208': 605814},232.86,MXN,5000,2021-01-22T12:24:59.000Z,Mexico,Estado De México,Generic,4.8,535408944
469,MLM1743,"Autos, Motos y Otros",87754,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
470,MLM1384,Bebés,398131,Mochila Panalera Cuna Impermeable Multifunción Bebe Viaje,{'MLM936642048': 122394},384.77,MXN,3250,2021-06-24T06:55:54.000Z,Mexico,Estado De México,Kazome,4.7,725399716
471,MLM1246,Belleza y Cuidado Personal,1179107,Blister Pestañas Nagaraku Aplicacion Mink 1x1 1pz Una Medida,{'MLM794169325': 747221},109,MXN,66296,2020-07-15T01:49:14.000Z,Mexico,Distrito Federal,Nagaraku,4.6,238671534
472,MLM1039,Cámaras y Accesorios,487736,Lampara Aro De Luz Led De 10 Pulgadas Con Tripie Portatil,{'MLM847166156': 624334},286.9,MXN,5000,2020-12-05T00:16:03.000Z,Mexico,Distrito Federal,"SOPORTE CELULAR,TRIPIE PORTATIL DE 1.20M",4.6,454041265
473,MLM1051,Celulares y Telefonía,1448957,Audífonos in-ear inalámbricos F9-5 negro,{'MLM16224063': 0},154,MXN,792929,2020-11-05T13:24:10Z,not found,Distrito Federal,Genérica,4.5,801621621
474,MLM1648,Computación,1618526,"Repetidor, Range extender Xiaomi Mi Wi-Fi Range Extender Pro R03 negro 100V/240V",{'MLM10448369': 0},299,MXN,183477,2018-08-10T00:50:08Z,not found,Distrito Federal,Xiaomi,4.6,337119560
475,MLM1144,Consolas y Videojuegos,290374,Tarjeta de memoria Kingston SDCS2SP  Canvas Select Plus con adaptador SD 128GB,{'MLM15916979': 0},296.59,MXN,21697,2020-07-20T15:29:09Z,not found,Estado De México,Kingston,4.9,541447221
476,MLM1500,Construcción,1056414,Bomba periférica Truper BOAP-1/2A2 0.5hp negra 60Hz 127V,{'MLM16110430': 0},595,MXN,25285,2020-09-23T20:10:15Z,not found,Estado De México,Truper,4.5,267637816
477,MLM1276,Deportes y Fitness,1975402,Suplemento en polvo Meta Nutrition  Creatine + creatina en sachet de 500g,{'MLM18548100': 0},530,MXN,54856,2021-10-15T16:03:09Z,not found,Distrito Federal,Meta Nutrition,0,211270894
478,MLM1575,Electrodomésticos,481797,Bascula Digital Gramera Lcd De 3 Gramos A 10 Kilos Hard Work,{'MLM549925001': 187636},90,MXN,13600,2016-04-04T20:33:05.000Z,Mexico,Jalisco,Queen Sense,4.7,119786025
479,MLM1000,"Electrónica, Audio y Video",965617,Audífonos in-ear inalámbricos F9-5 negro,{'MLM16224063': 0},154,MXN,792929,2020-11-05T13:24:10Z,not found,Distrito Federal,Genérica,4.5,801621621
480,MLM186863,Herramientas,1664710,Careta De Soldar Uso Industrial Soldadura Electronica Diseño,{'MLM739634532': 436379},298,MXN,11700,2019-11-21T23:23:47.000Z,Mexico,Estado De México,Adir/Tulplus,4.5,399621798
481,MLM1574,"Hogar, Muebles y Jardín",5977556,Sábanas Matrimoniales 2500 Hilos Tacto Suave Egipcio Premium,{'MLM927536151': 398134},269.55,MXN,8400,2021-06-03T17:54:19.000Z,Mexico,Estado De México,Onstore,4.5,762471204
482,MLM1499,Industrias y Oficinas,763486,Cubrebocas Kn95 Tapabocas 5 Capas Reutilizables Certificado ,{'MLM882420284': 879167},239,MXN,23505,2021-03-01T19:19:44.000Z,Mexico,Distrito Federal,Adultos,4.2,671689030
483,MLM1459,Inmuebles,443228,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
484,MLM1182,Instrumentos Musicales,322719,Guitarra Acústica Curva Ocelotl Paquete Vital De Accesorios ,{'MLM806556541': 613494},1299,MXN,2400,2020-08-18T13:39:48.000Z,Mexico,Michoacán,No,4.5,252929612
485,MLM3937,Joyas y Relojes,1100297,Correa Acero Compatible Con Apple Watch Series 7 Se 6 5 4 3 ,{'MLM1309904878': 63346},170,MXN,4182,2021-09-14T04:03:55.000Z,Mexico,Nuevo León,Acero inoxidable,4.7,87753744
486,MLM1132,Juegos y Juguetes,2692235,"Juguete Cactus Bailando 120 Canciones En Español, Recargable",{'MLM1328209541': 109760},198.8,MXN,5000,2021-10-19T06:57:04.000Z,Mexico,Estado De México,Cactus,4.5,808072969
487,MLM3025,"Libros, Revistas y Comics",3203126,Juguemos A Leer / Manual De Ejercicios + Libro De Lectura,{'MLM864877173': 52489},153.33,MXN,500,2021-01-19T18:49:08.000Z,Mexico,Distrito Federal,Papel,4.9,701296601
488,MLM1168,"Música, Películas y Series",744313,Lightstick Bts Army Bomb V4 Bluetooth,{'MLM1332543133': 47821},999,MXN,500,2021-10-27T09:16:41.000Z,Mexico,Oaxaca,731722774763,4.6,739800438
489,MLM44011,"Recuerdos, Cotillón y Fiestas",695015,Spiderman Heroes Expedition Hombre Araña Niños Cosplay Ropa,{'MLM1350645138': 87901},379,MXN,2000,2021-12-04T08:31:23.000Z,Mexico,Estado De México,,4.4,744110390
490,MLM1430,"Ropa, Bolsas y Calzado",5335245,Pants Jogger Deportivo Slim Fit Súper Calidad Elástico ,{'MLM871974563': 922856},193,MXN,17665,2021-02-04T23:02:17.000Z,Mexico,Estado De México,Shendy Vendy,4.3,665639797
491,MLM187772,Salud y Equipamiento Médico,283565,Suplemento en polvo Meta Nutrition  Creatine + creatina en sachet de 500g,{'MLM18548100': 0},530,MXN,54856,2021-10-15T16:03:09Z,not found,Distrito Federal,Meta Nutrition,0,211270894
492,MLM1540,Servicios,4243,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
493,MLM1953,Otras Categorías,660178,Encendedor Eléctrico De Cocina Recargable Usb Arco Koovi,{'MLM1411521774': 14554},142.4,MXN,1450,2022-04-25T21:09:16.000Z,Mexico,Distrito Federal,koovi basics,4.6,179341552
