,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
69,Hogar y Muebles,34284,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
70,Industrias y Oficinas,9043,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
71,Inmuebles,1813,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
72,Instrumentos Musicales,3258,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
73,Joyas y Relojes,4538,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
74,Juegos y Juguetes,11487,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
75,"Música, Libros y Películas",6557,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
76,"Recuerdos, Cotillón y Fiestas",1115,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
77,Ropa y Accesorios,13155,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
78,Salud y Equipamiento Médico,13874,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
79,Servicios,959,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
80,Otras categorías,9283,not found,0.0,0.0,not found,0.0,00-00-0000,Ecuador,not found,not found,0.0,not found
81,Accesorios para Vehículos,147,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
82,Agro,3,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
83,Arte y Antigüedades,33,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
84,"Autos, Motos y Otros",224,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
85,Cámaras Digitales y Foto.,166,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
86,Celulares y Teléfonos,761,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
87,Coleccionables y Hobbies,2,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
88,Computación,812,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
89,Consolas y Videojuegos,188,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
90,Deportes y Fitness,284,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
91,"Electrónica, Audio y Video",479,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
92,Hogar y Electrodomésticos,287,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
93,Indumentaria y Accesorios,460,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
94,Inmuebles,627,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
95,Instrumentos Musicales,375,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
96,Joyas y Relojes,17,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
97,Juegos y Juguetes,29,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
98,"Libros, Revistas y Comics",108,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
99,Música y Películas,4,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
100,Servicios,235,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
101,Otras categorías,652,not found,0.0,0.0,not found,0.0,00-00-0000,Paraguay,not found,not found,0.0,not found
102,Accesorios para Vehículos,3,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
103,Agro,2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
104,Arte y Antigüedades,45,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
105,"Autos, Motos y Otros",50,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
106,Cámaras Digitales y Foto.,6,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
107,Celulares y Teléfonos,133,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
108,Coleccionables y Hobbies,2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
109,Computación,49,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
110,Consolas y Videojuegos,18,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
111,Deportes y Fitness,3,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
112,"Electrónica, Audio y Video",9,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
113,Hogar y Electrodomésticos,11,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
114,Indumentaria y Accesorios,1,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
115,Inmuebles,237,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
116,Instrumentos Musicales,2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
117,Joyas y Relojes,2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
118,Juegos y Juguetes,13,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
119,"Libros, Revistas y Comics",2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
120,Música y Películas,2,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
121,Servicios,285,not found,0.0,0.0,not found,0.0,00-00-0000,El Salvador,not found,not found,0.0,not found
